step,reward,seed
0,9.9,1
50000,284.6,1
100000,323.8,1
150000,302.4,1
200000,379.6,1
250000,309.7,1
300000,525.2,1
350000,423.9,1
400000,451.3,1
450000,547.4,1
500000,653.4,1
550000,483.0,1
600000,653.2,1
650000,682.3,1
700000,432.7,1
750000,622.9,1
800000,546.4,1
850000,572.4,1
900000,622.5,1
950000,657.5,1
1000000,705.6,1
0,5.6,2
50000,221.6,2
100000,450.2,2
150000,405.8,2
200000,493.1,2
250000,486.1,2
300000,506.5,2
350000,507.9,2
400000,499.3,2
450000,600.4,2
500000,597.1,2
550000,477.2,2
600000,436.0,2
650000,600.8,2
700000,611.7,2
750000,582.8,2
800000,673.0,2
850000,712.5,2
900000,544.3,2
950000,599.9,2
1000000,622.2,2
0,3.6,3
50000,193.2,3
100000,363.7,3
150000,410.3,3
200000,318.0,3
250000,374.6,3
300000,432.3,3
350000,390.1,3
400000,473.8,3
450000,524.6,3
500000,569.5,3
550000,508.0,3
600000,560.8,3
650000,425.1,3
700000,632.7,3
750000,663.3,3
800000,658.2,3
850000,594.1,3
900000,543.5,3
950000,599.4,3
1000000,654.8,3
