step,reward,seed
0,5.0,1
50000,55.6,1
100000,195.4,1
150000,279.7,1
200000,389.6,1
250000,457.9,1
300000,519.0,1
350000,519.2,1
400000,544.0,1
450000,627.5,1
500000,630.4,1
550000,674.8,1
600000,665.3,1
650000,673.5,1
700000,692.9,1
750000,684.4,1
800000,692.5,1
850000,717.2,1
900000,686.8,1
950000,701.5,1
1000000,737.1,1
0,4.2,2
50000,21.4,2
100000,171.6,2
150000,279.6,2
200000,352.8,2
250000,420.5,2
300000,461.2,2
350000,467.1,2
400000,531.5,2
450000,555.7,2
500000,569.8,2
550000,552.2,2
600000,591.5,2
650000,613.6,2
700000,610.7,2
750000,632.2,2
800000,641.9,2
850000,653.8,2
900000,657.5,2
950000,676.4,2
1000000,685.5,2
0,5.0,3
50000,49.5,3
100000,169.7,3
150000,234.8,3
200000,391.6,3
250000,456.0,3
300000,498.1,3
350000,569.3,3
400000,586.5,3
450000,616.7,3
500000,537.8,3
550000,583.9,3
600000,659.9,3
650000,656.9,3
700000,667.5,3
750000,665.1,3
800000,685.1,3
850000,679.7,3
900000,678.5,3
950000,700.9,3
1000000,660.9,3
