step,reward,seed
0,-378.7,0
50000,574.9,0
100000,178.9,0
150000,572.9,0
200000,858.3,0
250000,1188.2,0
300000,1412.6,0
350000,1223.8,0
400000,1755.5,0
450000,1965.6,0
500000,1739.4,0
550000,2120.7,0
600000,2189.9,0
650000,2151.1,0
700000,2766.1,0
750000,2556.5,0
800000,3142.4,0
850000,2827.3,0
900000,3175.8,0
950000,3529.4,0
1000000,3553.2,0
1050000,2946.6,0
1100000,3336.5,0
1150000,2877.8,0
1200000,3122.9,0
1250000,3859.2,0
1300000,3102.3,0
1350000,4959.2,0
1400000,3904.0,0
1450000,3634.7,0
1500000,4643.5,0
1550000,5108.6,0
1600000,4312.0,0
1650000,4931.9,0
1700000,4840.6,0
1750000,5511.6,0
1800000,5035.3,0
1850000,5450.0,0
1900000,5051.2,0
1950000,4578.0,0
2000000,5618.5,0
0,-264.2,1
50000,147.5,1
100000,233.2,1
150000,369.2,1
200000,684.4,1
250000,1201.8,1
300000,1105.7,1
350000,1319.8,1
400000,1956.8,1
450000,1867.8,1
500000,1874.9,1
550000,2183.7,1
600000,2197.6,1
650000,2881.3,1
700000,2799.8,1
750000,2671.8,1
800000,2014.1,1
850000,2932.4,1
900000,2931.2,1
950000,2819.2,1
1000000,2633.0,1
1050000,3770.9,1
1100000,2742.1,1
1150000,3413.4,1
1200000,2906.4,1
1250000,3270.0,1
1300000,4282.0,1
1350000,3258.0,1
1400000,2572.4,1
1450000,3734.2,1
1500000,3591.7,1
1550000,3313.7,1
1600000,3633.9,1
1650000,3391.9,1
1700000,4279.9,1
1750000,4441.7,1
1800000,3922.2,1
1850000,4033.5,1
1900000,3895.2,1
1950000,4788.8,1
2000000,4859.3,1
0,538.1,2
50000,-19.9,2
100000,215.5,2
150000,441.3,2
200000,924.1,2
250000,974.0,2
300000,1027.4,2
350000,900.3,2
400000,1059.5,2
450000,1551.9,2
500000,1369.4,2
550000,2061.3,2
600000,1885.4,2
650000,2035.9,2
700000,2274.0,2
750000,2135.3,2
800000,1941.4,2
850000,2771.3,2
900000,2201.2,2
950000,3117.5,2
1000000,2753.1,2
1050000,2835.5,2
1100000,3124.2,2
1150000,2879.2,2
1200000,3180.9,2
1250000,2626.5,2
1300000,2674.8,2
1350000,2580.9,2
1400000,4014.8,2
1450000,3495.4,2
1500000,3800.7,2
1550000,3257.9,2
1600000,3527.8,2
1650000,4263.1,2
1700000,3498.2,2
1750000,4290.7,2
1800000,3806.5,2
1850000,3893.4,2
1900000,4123.5,2
1950000,4747.9,2
2000000,3843.5,2
