step,reward,success,seed
0,27.0,0.0,1
50000,1405.0,0.3,1
100000,1508.5,0.0,1
150000,1543.8,0.6,1
200000,1143.6,0.1,1
250000,1554.0,0.7,1
300000,1562.8,0.7,1
350000,1206.5,0.7,1
400000,1564.2,1.0,1
450000,1546.3,0.6,1
500000,1583.1,1.0,1
550000,1546.2,0.6,1
600000,1579.2,1.0,1
650000,1574.5,1.0,1
700000,1564.4,0.8,1
750000,1566.3,1.0,1
800000,1591.1,1.0,1
850000,1560.9,0.8,1
900000,1571.8,0.9,1
950000,1609.6,1.0,1
1000000,1549.9,0.7,1
0,43.6,0.0,2
50000,1155.7,0.2,2
100000,1526.8,0.0,2
150000,1539.8,0.8,2
200000,1535.7,0.2,2
250000,1558.4,0.7,2
300000,1500.5,0.2,2
350000,1549.7,0.8,2
400000,1562.2,0.7,2
450000,1552.3,0.5,2
500000,1572.5,0.9,2
550000,1574.0,1.0,2
600000,1554.5,1.0,2
650000,1572.3,0.8,2
700000,1548.4,0.7,2
750000,1569.9,0.8,2
800000,1571.6,1.0,2
850000,1592.1,1.0,2
900000,1593.9,1.0,2
950000,1566.5,1.0,2
1000000,1567.8,1.0,2
0,25.0,0.0,3
50000,1445.2,0.3,3
100000,1355.3,0.1,3
150000,1528.4,0.2,3
200000,1510.2,0.0,3
250000,1528.6,0.4,3
300000,1517.0,0.3,3
350000,1553.5,1.0,3
400000,1530.6,0.8,3
450000,1539.7,0.1,3
500000,1554.8,0.7,3
550000,1555.2,0.8,3
600000,1550.2,0.3,3
650000,1487.1,0.9,3
700000,1552.4,0.5,3
750000,1563.6,1.0,3
800000,1544.8,1.0,3
850000,1571.8,1.0,3
900000,1567.6,1.0,3
950000,1557.2,0.8,3
1000000,1552.2,0.6,3
