step,reward,seed
0,7.6,1
50000,56.8,1
100000,89.2,1
150000,188.5,1
200000,284.9,1
250000,252.6,1
300000,357.8,1
350000,335.8,1
400000,420.9,1
450000,374.6,1
500000,531.8,1
550000,463.5,1
600000,551.7,1
650000,429.0,1
700000,575.6,1
750000,561.7,1
800000,562.9,1
850000,688.0,1
900000,595.5,1
950000,620.7,1
1000000,656.8,1
0,5.8,2
50000,63.8,2
100000,137.4,2
150000,226.7,2
200000,339.4,2
250000,342.3,2
300000,339.1,2
350000,356.0,2
400000,417.3,2
450000,550.1,2
500000,450.6,2
550000,486.7,2
600000,407.2,2
650000,453.0,2
700000,507.9,2
750000,432.3,2
800000,615.6,2
850000,713.8,2
900000,565.6,2
950000,501.6,2
1000000,468.5,2
0,2.0,3
50000,116.3,3
100000,236.3,3
150000,259.9,3
200000,198.7,3
250000,276.4,3
300000,262.8,3
350000,283.1,3
400000,575.6,3
450000,445.8,3
500000,445.1,3
550000,470.1,3
600000,536.9,3
650000,568.0,3
700000,555.9,3
750000,555.2,3
800000,608.1,3
850000,563.8,3
900000,481.1,3
950000,601.4,3
1000000,621.6,3
