step,reward,seed
0,7.4,1
50000,13.5,1
100000,58.3,1
150000,89.5,1
200000,122.5,1
250000,186.8,1
300000,191.5,1
350000,186.4,1
400000,202.8,1
450000,197.1,1
500000,255.9,1
550000,305.5,1
600000,317.4,1
650000,332.3,1
700000,342.1,1
750000,349.8,1
800000,353.2,1
850000,360.7,1
900000,358.3,1
950000,359.2,1
1000000,358.7,1
0,4.2,2
50000,7.4,2
100000,61.3,2
150000,97.2,2
200000,155.2,2
250000,190.1,2
300000,202.6,2
350000,212.9,2
400000,207.7,2
450000,241.1,2
500000,250.3,2
550000,256.4,2
600000,265.0,2
650000,280.5,2
700000,282.4,2
750000,290.4,2
800000,306.1,2
850000,306.7,2
900000,313.9,2
950000,319.8,2
1000000,318.0,2
0,5.1,3
50000,8.3,3
100000,45.9,3
150000,72.1,3
200000,161.6,3
250000,185.0,3
300000,190.9,3
350000,190.7,3
400000,198.1,3
450000,193.4,3
500000,196.9,3
550000,196.0,3
600000,199.4,3
650000,197.1,3
700000,199.7,3
750000,198.1,3
800000,196.5,3
850000,197.4,3
900000,198.9,3
950000,201.4,3
1000000,203.6,3
