step,reward,seed
0,4.7,0
50000,285.7,0
100000,173.8,0
150000,793.4,0
200000,570.3,0
250000,241.4,0
300000,2130.1,0
350000,1500.3,0
400000,1086.1,0
450000,1791.8,0
500000,2711.2,0
550000,1155.5,0
600000,2304.1,0
650000,730.9,0
700000,1270.3,0
750000,487.1,0
800000,1804.5,0
850000,2970.0,0
900000,2669.9,0
950000,3668.5,0
1000000,2707.3,0
1050000,2160.7,0
1100000,2830.8,0
1150000,3677.6,0
1200000,3842.3,0
1250000,2889.6,0
1300000,4463.6,0
1350000,3607.9,0
1400000,4100.4,0
1450000,3337.1,0
1500000,4950.8,0
1550000,5095.0,0
1600000,3486.4,0
1650000,4794.5,0
1700000,4237.5,0
1750000,4345.9,0
1800000,2876.5,0
1850000,5046.9,0
1900000,4089.4,0
1950000,3428.3,0
2000000,4724.1,0
0,611.0,1
50000,-696.2,1
100000,445.4,1
150000,638.6,1
200000,552.9,1
250000,383.1,1
300000,440.0,1
350000,1676.0,1
400000,1344.2,1
450000,1744.7,1
500000,2076.9,1
550000,1357.9,1
600000,1245.5,1
650000,1508.6,1
700000,1676.3,1
750000,1976.8,1
800000,3348.9,1
850000,2821.0,1
900000,2466.7,1
950000,5172.0,1
1000000,2691.8,1
1050000,2630.5,1
1100000,3265.5,1
1150000,4182.8,1
1200000,5230.7,1
1250000,3595.3,1
1300000,3728.2,1
1350000,2945.4,1
1400000,4199.5,1
1450000,4561.8,1
1500000,4263.8,1
1550000,4138.7,1
1600000,4280.0,1
1650000,5602.3,1
1700000,5795.0,1
1750000,5604.1,1
1800000,6167.2,1
1850000,6555.9,1
1900000,4554.2,1
1950000,5932.1,1
2000000,5607.0,1
0,102.1,2
50000,555.8,2
100000,408.7,2
150000,1220.9,2
200000,1830.2,2
250000,413.5,2
300000,1443.3,2
350000,486.3,2
400000,2061.9,2
450000,2622.3,2
500000,1530.6,2
550000,1922.6,2
600000,1666.3,2
650000,1795.3,2
700000,2316.4,2
750000,4679.5,2
800000,3440.8,2
850000,2718.7,2
900000,3615.5,2
950000,5065.6,2
1000000,5333.2,2
1050000,4519.2,2
1100000,3958.6,2
1150000,4183.1,2
1200000,3134.7,2
1250000,4241.9,2
1300000,4066.7,2
1350000,3859.0,2
1400000,4584.2,2
1450000,3709.4,2
1500000,4158.7,2
1550000,5585.5,2
1600000,3849.0,2
1650000,4980.7,2
1700000,4397.6,2
1750000,4293.2,2
1800000,5888.5,2
1850000,4792.3,2
1900000,4977.8,2
1950000,4009.5,2
2000000,5347.5,2
