step,reward,success,seed
0,26.2,0.0,1
50000,1450.7,0.0,1
100000,1473.2,0.1,1
150000,1432.6,0.1,1
200000,1491.8,0.0,1
250000,1547.2,0.9,1
300000,1551.2,1.0,1
350000,1553.5,1.0,1
400000,1527.2,0.7,1
450000,1558.4,0.9,1
500000,1540.9,0.7,1
550000,1460.2,0.4,1
600000,1485.7,0.2,1
650000,1523.9,0.0,1
700000,1556.2,1.0,1
750000,1566.8,1.0,1
800000,1564.0,1.0,1
850000,1564.9,0.9,1
900000,1561.5,1.0,1
950000,1575.9,1.0,1
1000000,1571.7,0.9,1
0,63.5,0.0,2
50000,1368.2,0.0,2
100000,1445.8,0.0,2
150000,1448.4,0.0,2
200000,1484.9,0.0,2
250000,1486.7,0.0,2
300000,1471.2,0.0,2
350000,1494.5,0.0,2
400000,1498.5,0.0,2
450000,1542.0,0.6,2
500000,1536.1,0.2,2
550000,1524.2,0.3,2
600000,1544.8,0.7,2
650000,1516.8,0.6,2
700000,1548.1,0.9,2
750000,1552.5,0.5,2
800000,1498.1,0.1,2
850000,1573.6,1.0,2
900000,1583.5,0.9,2
950000,1560.7,1.0,2
1000000,1594.2,1.0,2
0,34.3,0.0,3
50000,1407.4,0.0,3
100000,1485.7,0.0,3
150000,1489.2,0.1,3
200000,1497.8,0.2,3
250000,1521.8,0.8,3
300000,1524.7,0.7,3
350000,1447.3,0.0,3
400000,1521.1,0.8,3
450000,1539.1,0.6,3
500000,1549.4,1.0,3
550000,1545.5,1.0,3
600000,1565.7,0.9,3
650000,1542.7,0.8,3
700000,1559.0,0.8,3
750000,1552.9,0.6,3
800000,1559.5,1.0,3
850000,1582.6,1.0,3
900000,1552.6,0.7,3
950000,1576.5,0.8,3
1000000,1586.9,1.0,3
