step,reward,seed
0,7.6,1
50000,10.1,1
100000,15.5,1
150000,86.9,1
200000,164.2,1
250000,177.3,1
300000,45.3,1
350000,215.8,1
400000,234.5,1
450000,271.7,1
500000,286.7,1
550000,307.7,1
600000,361.2,1
650000,367.1,1
700000,451.2,1
750000,256.9,1
800000,434.7,1
850000,501.2,1
900000,517.0,1
950000,539.2,1
1000000,552.4,1
0,4.4,2
50000,37.0,2
100000,91.6,2
150000,13.7,2
200000,70.9,2
250000,28.9,2
300000,35.3,2
350000,84.6,2
400000,175.5,2
450000,255.6,2
500000,33.9,2
550000,255.9,2
600000,227.8,2
650000,325.2,2
700000,284.9,2
750000,357.1,2
800000,327.1,2
850000,377.0,2
900000,404.2,2
950000,309.6,2
1000000,45.3,2
0,5.2,3
50000,7.6,3
100000,125.7,3
150000,162.3,3
200000,153.3,3
250000,172.5,3
300000,178.3,3
350000,228.0,3
400000,234.2,3
450000,243.9,3
500000,374.5,3
550000,431.3,3
600000,377.3,3
650000,445.7,3
700000,405.3,3
750000,489.1,3
800000,463.2,3
850000,538.4,3
900000,594.1,3
950000,576.4,3
1000000,586.3,3
