step,reward,seed
0,222.8,0
50000,889.9,0
100000,395.0,0
150000,955.6,0
200000,1111.0,0
250000,1426.1,0
300000,2390.6,0
350000,1445.7,0
400000,2680.6,0
450000,2509.9,0
500000,1985.7,0
550000,3131.3,0
600000,2301.2,0
650000,4063.7,0
700000,3140.7,0
750000,3139.2,0
800000,3614.6,0
850000,3393.6,0
900000,2115.0,0
950000,4336.9,0
1000000,4628.7,0
1050000,4130.4,0
1100000,3633.3,0
1150000,5943.0,0
1200000,4912.4,0
1250000,5289.6,0
1300000,4702.3,0
1350000,6408.5,0
1400000,6413.0,0
1450000,5348.4,0
1500000,7142.0,0
1550000,6438.2,0
1600000,3731.2,0
1650000,6144.6,0
1700000,5930.3,0
1750000,6687.7,0
1800000,8478.7,0
1850000,7033.0,0
1900000,7284.7,0
1950000,6511.5,0
2000000,6883.3,0
0,956.5,1
50000,-334.5,1
100000,434.3,1
150000,581.1,1
200000,1259.6,1
250000,1417.3,1
300000,1396.7,1
350000,2276.1,1
400000,2639.7,1
450000,2172.8,1
500000,2664.4,1
550000,2517.1,1
600000,4256.2,1
650000,2994.2,1
700000,2748.2,1
750000,4347.9,1
800000,5352.6,1
850000,4951.3,1
900000,5421.0,1
950000,5530.5,1
1000000,5265.9,1
1050000,5802.3,1
1100000,5154.1,1
1150000,7011.3,1
1200000,5395.9,1
1250000,5522.3,1
1300000,6272.3,1
1350000,6336.0,1
1400000,6217.9,1
1450000,7078.4,1
1500000,7476.8,1
1550000,6796.3,1
1600000,6501.0,1
1650000,7982.6,1
1700000,6761.7,1
1750000,6243.2,1
1800000,7889.3,1
1850000,8187.4,1
1900000,6240.4,1
1950000,7313.4,1
2000000,7549.8,1
0,275.8,2
50000,-36.0,2
100000,1346.0,2
150000,2156.6,2
200000,1993.4,2
250000,2085.4,2
300000,1833.3,2
350000,2165.2,2
400000,2726.7,2
450000,2478.3,2
500000,3154.8,2
550000,2214.9,2
600000,3681.2,2
650000,3392.9,2
700000,3780.9,2
750000,468.5,2
800000,723.6,2
850000,2985.2,2
900000,3561.0,2
950000,732.4,2
1000000,3759.3,2
1050000,4681.7,2
1100000,3720.5,2
1150000,4200.3,2
1200000,4700.9,2
1250000,2058.6,2
1300000,4055.5,2
1350000,3617.7,2
1400000,2441.3,2
1450000,4101.3,2
1500000,2378.7,2
1550000,4590.3,2
1600000,4948.4,2
1650000,2915.5,2
1700000,3183.7,2
1750000,2821.6,2
1800000,3899.8,2
1850000,4085.6,2
1900000,4659.3,2
1950000,2637.2,2
2000000,4252.2,2
